wallet,credit_score
0x58bb715e8e9577f6a692ef877845b9ae129ec1db,96.0
0xd333746e878b544c87e855018af40c8a0e133d6f,96.0
0x965cf7e7d50b6f38378d8e4e712f1e796c0b9d9c,96.0
0x7ed97db2acf8f3021f58795d8c6a0e68b541053e,96.0
0xab02afed11d5ff29323108231cdb2ddf8f1fc44d,96.0
0x89ceeb1a385f3d3b4c377260147ca7387558c33c,96.0
0x757c90ef2576a92b1aa5ef1edea20297b345edd2,96.0
0x68be4a4b110d47ff5fa408216d0a4696c845e6a8,96.0
0xd6390178b2002a0758e8b3486fddc1c4bc23ebe1,96.0
0xb26ff1c5ecd66c7cd8c9c13d12332a0a06694243,96.0
0x7c01b64571162941835e6988c9238b58ecba2acf,96.0
0xf4b615ddcc5f362251737b86ebdd6c9acc5cae9c,96.0
0x188970e1aa6be188c3380894cfb563f915e4c0eb,96.0
0x0f10406a6bbb29a83e08c6091d90fbd53843f7df,96.0
0x16d9780142fe199396495c88af48fc4ad642effa,96.0
0x3ad8d7465e88d826de82ea49984d8d6f0ee71db4,96.0
0x279f7364049b22bb8a456532250c473e7b491619,96.0
0x1c9a0e9fb11f64ec16ae6245f2ca03b4c5c8b6f0,95.0
0x9b4e63f5e35da20a1cc16b39764e69d958ceed59,95.0
0x18942fd6609ff2a38cdd9f809ad41ccad1c07775,95.0
0x8f9ea522c7b8026f3308f6aeaf4a4e458206b600,95.0
0x1a8350877ea27f2cef9e768d21b63ced796a45ed,95.0
0xa4b321b3458673dc34620e355185813c1d415ff0,95.0
0x1a823aded4f99b91d32719623ff88b1497a63811,95.0
0x6b6192f3299187dc68306c0ab43abbaed8ea4aba,95.0
0x3186f6710841ee9b0ec5f40f3fda8d1ec7a0fe43,94.0
0x7b1f1c79cdb647b10eac1b56212c41371e87dc6f,94.0
0xd959be483c92ee7c00e2686ae6e816084b4ce08d,94.0
0xfbb2a29dff113d518893c00387f6d5492898354e,94.0
0x1a2a9e66cb206bcb3b5d95ba70e7c3f8f99898f8,94.0
0x168ed3bda6b247386f45da678bb23d9d74e41611,94.0
0x55d44591fc2d4ad7a79df4784cb0d166ea697935,94.0
0x718b002ffe88442f2f22bd9902bf04b0b4723e65,94.0
0x316b98c6df382bd218186d0766966459a199dd04,94.0
0x5467277a95e153d7d052f147d28aa01d95d52c9b,94.0
0xd10aa17bc2731e43a39c14eb63d6c4063f950885,94.0
0x050d4a19c3e3d17e1252861694cead0045e78e01,94.0
0x8c1a4c98c470900567fb9e764243c89cda79400c,94.0
0xe2af1b0eab8f4c2a31a7b8e15cbe190ed9ca7c11,93.0
0x238482b6fb598710a89563e699acbfd205f7c95e,93.0
0x97c40924a913b359d7fad186ffad1ad787f559d3,93.0
0x85591bfabb18be044fa98d72f7093469c588483c,93.0
0x765d4ef74db28082de33161c9daaf640d98f5208,93.0
0x0df533996310ec7f7683b9ce90126bca431e2195,93.0
0xd35e1931ec860aa019628fb56fd8acf0bfc69989,93.0
0x4399bc84b060d94906b4bbd051eded0ed7817864,93.0
0x0667984d544d13df1b98dd1ddb825476b402f29a,93.0
0x6cbb863d1e39cbea703676dd84b6133979cf4ab5,93.0
0x6160b08d3efaa092db1b310e96118ce9f7169325,93.0
0x1f83b60b80d732dc7898a50d89db688bca40a7de,93.0
0xec21bc3080f44cbfbefcc4540df6d58b55fa8195,93.0
0x60461414faf8b86632aab17147cab1d8abeb6634,93.0
0x605129f139e396e1a432106e6c5245482ae75b79,93.0
0x0d530ba045aa9b82bbb0d004cea536b2669ed0ed,93.0
0xdacd060557ddb8bde780e0c57e975baeb940392e,93.0
0x729fbc913fb83edb450c20f79f1bcf59609199bf,93.0
0x449607ab6143cb3935e01650595473bb9fb6f9fa,93.0
0xa3cdf8d3b49ad4ed0f159c6b59ce4d49d79b945c,93.0
0x87a692bff2693d8f9c1b590dde644736ee28a13d,93.0
0x6101783d70c267d0cd749fe40718eb7b599302a2,93.0
0xea684b99872bd23a5ed067ee64d006496799c1cc,93.0
0x92cf34e12ed6a47a08f97305c9325c2a92f34b70,92.0
0x0de91b090cdeae9a64f988fc2152a16d9e675b6a,92.0
0x20229aab17432c3d8482531e416a4ad363fd2ef8,92.0
0xc1f11ee1f5fb4ae961a1388d40854364ec6aee3d,92.0
0x8332c9c551e658fc172b55fb6093346f157b99b1,92.0
0xef733ee40ea6c2af2a36cb7f4b94c19986ead34b,92.0
0xc676b41dbd9c14b49f74c0b31b3f918795d61358,92.0
0xee83a99406e8e4943f1ebe8560a3cfcc80295352,92.0
0x1f5be3c931deb102a9e2c489c8abd074a6450e1a,92.0
0xc7d4bf98fb7ba2ca2d1e79d5725a62a42bdeb722,92.0
0xbe121852607fb30a38d222a7d6eced4010467e60,92.0
0xdd76dffda3bed844193dc986f295ab3ee6cba8df,92.0
0x28904c926d420cc9cefe6b478e3021ece6b68a06,92.0
0xa8665bcf4433fd79ca3665aaf7f6f2a8180fab66,92.0
0x6906041503264a221b8735186056ad89f7a4f04c,92.0
0x193f0ee42a199a0cecd479a9f09ba293eb1ca357,91.0
0xb9b8de4b0b7020920c0476ff1d74d6c51aec7796,91.0
0xd6241e2a83044095ab2736528071dab88c0ccd77,91.0
0x2d5c4f5b466362f9129a8d34916c49d0e8332e98,91.0
0x8c61918b4e43c7bed47406f54bfd6f2a08417089,91.0
0x0235ecaa45c4ce4abaf58c21e70c103d1bd745d7,91.0
0x7093f8979a945bcdc52284027929defa99977671,91.0
0xd36227d854a8d939ca265a1c28a874eb9bfb4fbd,91.0
0xaa1e39feb2ec9e05bf7d7d33e7c5286c096a426f,91.0
0x7853bfbc16628d80c138975f30a0ca41eeacc3e3,91.0
0xaa25a82e1407e9580d0daefe075e2cc6473da938,91.0
0xd9989d54316a21f4d5e74dede82e1b95d1f8a64f,91.0
0x0e23c93a4b6b93f3c4eea3b42ae672e1c540a91a,91.0
0x7846e6117fe9320751572fef8487609b25e48059,91.0
0x933258bddd49beeca77f6d1889633c5429af45ea,91.0
0xfa8c56fd100c7c55ef39e0af075c618b59714f91,91.0
0xd93032a49ae41e5c1281a1001e4bcbf2ae68def7,91.0
0xa7e9cd3a8b3ed5045f65efe4b9ee6d2d782ccbb1,91.0
0x6cd71d6cb7824add7c277f2ca99635d98f8b9248,90.0
0x42da91be491e4101f348b9a746183dad9a6f92a2,90.0
0xdda5b2788c9077f59e846c7b20e73a47fd3bcb76,90.0
0x38d45371993eec84f38fedf93c646aa2d2267cea,90.0
0x6bb813898731f9c016cb8453baf9bfb301a3b650,90.0
0x360b121a6f4de986bbcb0139775f6a25105130a9,90.0
0x78b032708d09b09404da88b72393bfce57568d1e,90.0
0xd29537bdc04c589a743e004f966bc14106f7d05d,90.0
0xeb97952c39c36ace5af7b2919ab058ab9bbcad12,90.0
0x56a50408ee05a83c238ff55f6641718ecdc303c4,90.0
0x3ea3746cc9546e709441055d4e1d691e390e2cdc,90.0
0x1d7c8084d7307c661c414085b30f5d74056ce6dd,90.0
0x8042a42fff649cdcd8b46a28d75c7fab04956447,90.0
0x0d4cc9e8b797af790cb2df316288a1b962c50785,90.0
0x4da2045185cf421b80e6232db48dadc57335095a,90.0
0xcb1ac7d365feca8ba3dcf9dec04ed19c9f980d0e,90.0
0xa8d7046b64fdce427aae97a113ca034aeba58195,90.0
0xfb1246d50c0c5580ae0bde02dc09baa6cdb56ecc,90.0
0x39bde2f9254cfef7d0487a27e107ef6c1685e44c,90.0
0x05ac2c01661eb6aba0f88a78dc306c84af90bf69,90.0
0x4d0eeb7982f93a63142e1c37740fd833d065c289,90.0
0x240edc6143e1859f4c06bc3d7f7a7962be1ebbd7,90.0
0x6c5b4efe8f9177a6adae9c9eeb0df4550639174f,90.0
0x76d026013f6bea2b487bbba8c1dd8d9c66556ae2,90.0
0x1e321be460b5b056e861f682323fdf1511d275c7,90.0
0xe9883b15b321f3f381e9fafd1277a98e1e5d86f7,89.0
0x704de3d5e767af20dcddbaa91a2e0d27a72217cc,89.0
0xf90dcc7d4055004a5568e2d460abe696d3348497,89.0
0x819b30644d3356dac1d295b053eca4f61aa7f15b,89.0
0x1821a39c87e4d8a3dc5a8391a1ba7057e4eadd06,89.0
0x7be02502dde489a24e7762541c6ec72d50532192,89.0
0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,89.0
0x9ce8f85083fcf364467a827cb15730102306ed1c,89.0
0xac59f71c383de1ef94802676f72f1bae3d7d3029,89.0
0x55b6639cd1eff708c06e7d56d2302291c3b1173c,89.0
0xe896fd85639555d87b7b1d505a9f010e988a1b45,89.0
0xc33e52b7b83f4ac9eaa3a3741674b4c42af941c6,89.0
0xc36794a6b0d7a03db37fe069e765ff615b58179a,89.0
0x07f2e84d11babd5d195c929614c7b39c1b17f72f,89.0
